sample_key,row,col,algae_count
CG CL 1,0,0,69
CG CL 1,0,1,68
CG CL 1,0,2,99
CG CL 1,0,3,78
CG CL 1,1,0,233
CG CL 1,1,1,268
CG CL 1,1,2,276
CG CL 1,1,3,262
CG CL 1,2,0,265
CG CL 1,2,1,315
CG CL 1,2,2,277
CG CL 1,2,3,261
CG CL 1,3,0,195
CG CL 1,3,1,247
CG CL 1,3,2,214
CG CL 1,3,3,243
CG CL 2,0,0,53
CG CL 2,0,1,63
CG CL 2,0,2,48
CG CL 2,0,3,50
CG CL 2,1,0,101
CG CL 2,1,1,65
CG CL 2,1,2,96
CG CL 2,1,3,93
CG CL 2,2,0,119
CG CL 2,2,1,54
CG CL 2,2,2,70
CG CL 2,2,3,66
CG CL 2,3,0,81
CG CL 2,3,1,87
CG CL 2,3,2,58
CG CL 2,3,3,64
CG CL 3,0,0,37
CG CL 3,0,1,25
CG CL 3,0,2,71
CG CL 3,0,3,53
CG CL 3,1,0,56
CG CL 3,1,1,39
CG CL 3,1,2,66
CG CL 3,1,3,83
CG CL 3,2,0,62
CG CL 3,2,1,37
CG CL 3,2,2,63
CG CL 3,2,3,78
CG CL 3,3,0,8
CG CL 3,3,1,30
CG CL 3,3,2,34
CG CL 3,3,3,47
CG DL 1,0,0,82
CG DL 1,0,1,77
CG DL 1,0,2,100
CG DL 1,0,3,109
CG DL 1,1,0,80
CG DL 1,1,1,120
CG DL 1,1,2,133
CG DL 1,1,3,135
CG DL 1,2,0,91
CG DL 1,2,1,133
CG DL 1,2,2,134
CG DL 1,2,3,147
CG DL 1,3,0,33
CG DL 1,3,1,50
CG DL 1,3,2,61
CG DL 1,3,3,40
CG DL 2,0,0,45
CG DL 2,0,1,32
CG DL 2,0,2,71
CG DL 2,0,3,72
CG DL 2,1,0,62
CG DL 2,1,1,51
CG DL 2,1,2,63
CG DL 2,1,3,57
CG DL 2,2,0,54
CG DL 2,2,1,53
CG DL 2,2,2,66
CG DL 2,2,3,75
CG DL 2,3,0,37
CG DL 2,3,1,51
CG DL 2,3,2,52
CG DL 2,3,3,41
CG DL 3,0,0,87
CG DL 3,0,1,86
CG DL 3,0,2,103
CG DL 3,0,3,88
CG DL 3,1,0,125
CG DL 3,1,1,118
CG DL 3,1,2,130
CG DL 3,1,3,119
CG DL 3,2,0,127
CG DL 3,2,1,123
CG DL 3,2,2,116
CG DL 3,2,3,130
CG DL 3,3,0,109
CG DL 3,3,1,120
CG DL 3,3,2,113
CG DL 3,3,3,100
CG ML 1,0,0,9
CG ML 1,0,1,25
CG ML 1,0,2,33
CG ML 1,0,3,38
CG ML 1,1,0,15
CG ML 1,1,1,37
CG ML 1,1,2,45
CG ML 1,1,3,12
CG ML 1,2,0,11
CG ML 1,2,1,55
CG ML 1,2,2,21
CG ML 1,2,3,10
CG ML 1,3,0,4
CG ML 1,3,1,3
CG ML 1,3,2,2
CG ML 1,3,3,4
CG ML 2,0,0,43
CG ML 2,0,1,29
CG ML 2,0,2,27
CG ML 2,0,3,42
CG ML 2,1,0,51
CG ML 2,1,1,55
CG ML 2,1,2,48
CG ML 2,1,3,33
CG ML 2,2,0,47
CG ML 2,2,1,63
CG ML 2,2,2,44
CG ML 2,2,3,36
CG ML 2,3,0,34
CG ML 2,3,1,34
CG ML 2,3,2,24
CG ML 2,3,3,42
CG ML 3,0,0,6
CG ML 3,0,1,8
CG ML 3,0,2,23
CG ML 3,0,3,6
CG ML 3,1,0,14
CG ML 3,1,1,37
CG ML 3,1,2,23
CG ML 3,1,3,29
CG ML 3,2,0,7
CG ML 3,2,1,13
CG ML 3,2,2,48
CG ML 3,2,3,24
CG ML 3,3,0,5
CG ML 3,3,1,6
CG ML 3,3,2,6
CG ML 3,3,3,14
N CL 1,0,0,29
N CL 1,0,1,27
N CL 1,0,2,42
N CL 1,0,3,53
N CL 1,1,0,60
N CL 1,1,1,69
N CL 1,1,2,156
N CL 1,1,3,186
N CL 1,2,0,82
N CL 1,2,1,109
N CL 1,2,2,218
N CL 1,2,3,133
N CL 1,3,0,36
N CL 1,3,1,80
N CL 1,3,2,160
N CL 1,3,3,73
N CL 2,0,0,187
N CL 2,0,1,153
N CL 2,0,2,147
N CL 2,0,3,129
N CL 2,1,0,288
N CL 2,1,1,261
N CL 2,1,2,225
N CL 2,1,3,244
N CL 2,2,0,267
N CL 2,2,1,252
N CL 2,2,2,256
N CL 2,2,3,226
N CL 2,3,0,140
N CL 2,3,1,124
N CL 2,3,2,117
N CL 2,3,3,96
N CL 3,0,0,75
N CL 3,0,1,117
N CL 3,0,2,56
N CL 3,0,3,68
N CL 3,1,0,191
N CL 3,1,1,133
N CL 3,1,2,162
N CL 3,1,3,113
N CL 3,2,0,189
N CL 3,2,1,184
N CL 3,2,2,111
N CL 3,2,3,83
N CL 3,3,0,110
N CL 3,3,1,86
N CL 3,3,2,68
N CL 3,3,3,47
N DL 1,0,0,18
N DL 1,0,1,12
N DL 1,0,2,29
N DL 1,0,3,24
N DL 1,1,0,9
N DL 1,1,1,27
N DL 1,1,2,47
N DL 1,1,3,44
N DL 1,2,0,25
N DL 1,2,1,19
N DL 1,2,2,41
N DL 1,2,3,48
N DL 1,3,0,21
N DL 1,3,1,58
N DL 1,3,2,40
N DL 1,3,3,29
N DL 2,0,0,104
N DL 2,0,1,116
N DL 2,0,2,106
N DL 2,0,3,114
N DL 2,1,0,195
N DL 2,1,1,185
N DL 2,1,2,171
N DL 2,1,3,165
N DL 2,2,0,196
N DL 2,2,1,219
N DL 2,2,2,151
N DL 2,2,3,160
N DL 2,3,0,135
N DL 2,3,1,112
N DL 2,3,2,112
N DL 2,3,3,124
N DL 3,0,0,27
N DL 3,0,1,24
N DL 3,0,2,23
N DL 3,0,3,10
N DL 3,1,0,53
N DL 3,1,1,42
N DL 3,1,2,45
N DL 3,1,3,33
N DL 3,2,0,69
N DL 3,2,1,33
N DL 3,2,2,33
N DL 3,2,3,26
N DL 3,3,0,15
N DL 3,3,1,16
N DL 3,3,2,16
N DL 3,3,3,15
N ML 1,0,0,8
N ML 1,0,1,30
N ML 1,0,2,28
N ML 1,0,3,13
N ML 1,1,0,25
N ML 1,1,1,34
N ML 1,1,2,54
N ML 1,1,3,46
N ML 1,2,0,52
N ML 1,2,1,50
N ML 1,2,2,40
N ML 1,2,3,45
N ML 1,3,0,21
N ML 1,3,1,31
N ML 1,3,2,34
N ML 1,3,3,18
N ML 2,0,0,9
N ML 2,0,1,21
N ML 2,0,2,15
N ML 2,0,3,4
N ML 2,1,0,41
N ML 2,1,1,17
N ML 2,1,2,7
N ML 2,1,3,26
N ML 2,2,0,22
N ML 2,2,1,33
N ML 2,2,2,22
N ML 2,2,3,29
N ML 2,3,0,20
N ML 2,3,1,23
N ML 2,3,2,31
N ML 2,3,3,28
N ML 3,0,0,5
N ML 3,0,1,8
N ML 3,0,2,16
N ML 3,0,3,16
N ML 3,1,0,43
N ML 3,1,1,21
N ML 3,1,2,32
N ML 3,1,3,90
N ML 3,2,0,23
N ML 3,2,1,30
N ML 3,2,2,27
N ML 3,2,3,28
N ML 3,3,0,36
N ML 3,3,1,38
N ML 3,3,2,17
N ML 3,3,3,42
NP CL 1,0,0,137
NP CL 1,0,1,157
NP CL 1,0,2,153
NP CL 1,0,3,154
NP CL 1,1,0,338
NP CL 1,1,1,335
NP CL 1,1,2,328
NP CL 1,1,3,375
NP CL 1,2,0,327
NP CL 1,2,1,352
NP CL 1,2,2,351
NP CL 1,2,3,363
NP CL 1,3,0,226
NP CL 1,3,1,267
NP CL 1,3,2,249
NP CL 1,3,3,258
NP CL 2,0,0,42
NP CL 2,0,1,36
NP CL 2,0,2,55
NP CL 2,0,3,38
NP CL 2,1,0,79
NP CL 2,1,1,96
NP CL 2,1,2,95
NP CL 2,1,3,100
NP CL 2,2,0,39
NP CL 2,2,1,73
NP CL 2,2,2,76
NP CL 2,2,3,76
NP CL 2,3,0,80
NP CL 2,3,1,44
NP CL 2,3,2,54
NP CL 2,3,3,78
NP CL 3,0,0,84
