sample_key,n_images,total_algae_count
CG CL 1,2,3370
CG CL 2,2,1168
CG CL 3,2,789
CG DL 1,2,1525
CG DL 2,2,882
CG DL 3,2,1794
CG ML 1,2,324
CG ML 2,2,652
CG ML 3,2,269
N CL 1,2,1513
N CL 2,2,3112
N CL 3,2,1793
N DL 1,2,491
N DL 2,2,2365
N DL 3,2,480
N ML 1,2,529
N ML 2,2,348
N ML 3,2,472
NP CL 1,2,4370
NP CL 2,2,1061
NP CL 3,2,1181
NP DL 1,2,866
NP DL 2,2,485
NP DL 3,2,1741
NP ML 1,2,445
NP ML 2,2,627
NP ML 3,2,359
P CL 1,2,495
P CL 2,2,1597
P CL 3,2,1067
P DL 1,2,1347
P DL 2,2,1415
P DL 3,2,368
P ML 1,2,92
P ML 2,2,349
P ML 3,2,118
